id,title,depth,href
1,Basics,1,https://dcl-wrangle.stanford.edu/manip-basics.html
1.1,dplyr basics,2,https://dcl-wrangle.stanford.edu/manip-basics.html#dplyr-basics
1.2,Filter rows with filter(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#filter-rows-with-filter
1.2.1,Comparisons,3,https://dcl-wrangle.stanford.edu/manip-basics.html#comparisons
1.2.2,Logical operators,3,https://dcl-wrangle.stanford.edu/manip-basics.html#logical-operators
1.3,Add new variables with mutate(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#add-new-variables-with-mutate
1.4,Grouped summaries with summarize(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#grouped-summaries-with-summarize
1.5,Combining multiple operations with the pipe,2,https://dcl-wrangle.stanford.edu/manip-basics.html#combining-multiple-operations-with-the-pipe
2,Other single-table verbs,1,https://dcl-wrangle.stanford.edu/manip-one-table.html
2.1,Select,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#select
2.2,Rename,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#rename
2.3,Transmute,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#transmute
2.4,Arrange,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#arrange
2.5,Distinct,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#distinct
2.6,Sample,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#sample
2.7,Slice rows,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#slice-rows
3,Parsing,1,https://dcl-wrangle.stanford.edu/parse-basics.html
3.1,Delimited files,2,https://dcl-wrangle.stanford.edu/parse-basics.html#delimited-files
3.2,read_csv(),2,https://dcl-wrangle.stanford.edu/parse-basics.html#read_csv
4,Introduction,1,https://dcl-wrangle.stanford.edu/tidy.html
5,Basic pivoting,1,https://dcl-wrangle.stanford.edu/pivot_basic.html
5.1,Longer,2,https://dcl-wrangle.stanford.edu/pivot_basic.html#longer
5.2,Wider,2,https://dcl-wrangle.stanford.edu/pivot_basic.html#wider
5.3,Missing values,2,https://dcl-wrangle.stanford.edu/pivot_basic.html#missing-values
6,Advanced pivoting,1,https://dcl-wrangle.stanford.edu/pivot_advanced.html
6.1,Longer,2,https://dcl-wrangle.stanford.edu/pivot_advanced.html#longer-1
6.1.1,Types,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#types
6.1.2,Prefixes,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#prefixes
6.1.3,Multiple values,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#multiple-values
6.2,Wider,2,https://dcl-wrangle.stanford.edu/pivot_advanced.html#wider-1
6.2.1,Prefixes,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#prefixes-1
6.2.2,Multiple values,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#multiple-values-1
6.2.3,id_cols,3,https://dcl-wrangle.stanford.edu/pivot_advanced.html#id_cols
7,Introduction,1,https://dcl-wrangle.stanford.edu/scoped_verbs.html
8,Basics,1,https://dcl-wrangle.stanford.edu/scoped_basics.html
8.0.1,_all and _at scoped verbs,3,https://dcl-wrangle.stanford.edu/scoped_basics.html#all-and-_at-scoped-verbs
8.0.2,Scoped mutate(),3,https://dcl-wrangle.stanford.edu/scoped_basics.html#scoped-mutate
8.0.3,Anonymous functions,3,https://dcl-wrangle.stanford.edu/scoped_basics.html#anonymous-functions
8.0.4,...,3,https://dcl-wrangle.stanford.edu/scoped_basics.html#section
8.0.5,Multiple functions,3,https://dcl-wrangle.stanford.edu/scoped_basics.html#multiple-functions
8.0.6,Scoped select() and rename(),3,https://dcl-wrangle.stanford.edu/scoped_basics.html#scoped-select-and-rename
9,Predicates,1,https://dcl-wrangle.stanford.edu/scoped_predicate.html
9.1,_if,2,https://dcl-wrangle.stanford.edu/scoped_predicate.html#if
9.1.1,Anonymous predicate functions,3,https://dcl-wrangle.stanford.edu/scoped_predicate.html#anonymous-predicate-functions
9.2,Scoped filter(),2,https://dcl-wrangle.stanford.edu/scoped_predicate.html#scoped-filter
9.2.1,Specifying rows with all_vars() and any_vars(),3,https://dcl-wrangle.stanford.edu/scoped_predicate.html#specifying-rows-with-all_vars-and-any_vars
9.2.2,filter_if(),3,https://dcl-wrangle.stanford.edu/scoped_predicate.html#filter_if
10,Introduction,1,https://dcl-wrangle.stanford.edu/apis.html
11,Google Sheets,1,https://dcl-wrangle.stanford.edu/googlesheets.html
11.1,Public sheets,2,https://dcl-wrangle.stanford.edu/googlesheets.html#public-sheets
11.2,Private sheets,2,https://dcl-wrangle.stanford.edu/googlesheets.html#private-sheets
